2025-12-30 17:41:21.623 [main] INFO  com.traffic.sim.TrafficSimApplication - Starting TrafficSimApplication using Java 17.0.15 with PID 9120 (D:\traffic_pj\traffic-boot\traffic_sim_boot\traffic-sim-server\target\classes started by 20616 in D:\traffic_pj\traffic-boot\traffic_sim_boot)
2025-12-30 17:41:23.252 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2025-12-30 17:41:23.252 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1586 ms
2025-12-30 17:41:23.397 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-12-30 17:41:23.472 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2025-12-30 17:41:23.517 [main] INFO  o.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-12-30 17:41:23.742 [main] INFO  o.s.o.j.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-12-30 17:41:23.766 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-12-30 17:41:23.927 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@40ddf339
2025-12-30 17:41:23.928 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-12-30 17:41:23.997 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-12-30 17:41:23.997 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2025-12-30 17:41:24.743 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-12-30 17:41:24.828 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-12-30 17:41:25.144 [main] INFO  o.s.data.jpa.repository.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-12-30 17:41:25.555 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.11.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.15+9-LTS-241"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='root', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@6fb9179e, com.mongodb.Jep395RecordCodecProvider@3abe3f9a, com.mongodb.KotlinCodecProvider@7b338d46]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[localhost:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
2025-12-30 17:41:25.571 [cluster-ClusterId{value='69539e45101a526a4120aa27', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=21274700}
2025-12-30 17:41:25.797 [main] INFO  n.d.b.g.c.a.GrpcClientAutoConfiguration - Detected grpc-netty-shaded: Creating ShadedNettyChannelFactory + InProcessChannelFactory
2025-12-30 17:41:25.984 [main] INFO  c.t.s.p.simulation.grpc.SimulationPythonGrpcClient - gRPC client for python-service is available
2025-12-30 17:41:26.065 [main] INFO  c.t.sim.plugin.simulation.config.GrpcClientConfig - gRPC client is enabled
2025-12-30 17:41:26.103 [main] INFO  c.t.s.p.s.config.StatisticsPluginAutoConfiguration - Initialized statistics executor: core=4, max=8, queue=100
2025-12-30 17:41:26.180 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-12-30 17:41:26.403 [main] INFO  n.d.b.g.s.a.GrpcServerFactoryAutoConfiguration - Detected grpc-netty-shaded: Creating ShadedNettyGrpcServerFactory
2025-12-30 17:41:26.457 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 01720329-484b-44d3-b96b-c0459f3994c8

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2025-12-30 17:41:26.574 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7be55279, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6dd6c64c, org.springframework.security.web.context.SecurityContextHolderFilter@438cb294, org.springframework.security.web.header.HeaderWriterFilter@657c93da, org.springframework.web.filter.CorsFilter@241b5364, org.springframework.security.web.csrf.CsrfFilter@52ebb73a, org.springframework.security.web.authentication.logout.LogoutFilter@20d5668, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@7746ae18, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@5b4c2959, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@53a41fbe, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@29296e7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@94af25, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@34bc5763, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@203f929, org.springframework.security.web.access.ExceptionTranslationFilter@2096ade6, org.springframework.security.web.access.intercept.AuthorizationFilter@1222d0e4]
2025-12-30 17:41:26.742 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/api'
2025-12-30 17:41:26.746 [main] INFO  n.d.b.g.s.serverfactory.AbstractGrpcServerFactory - Registered gRPC service: grpc.health.v1.Health, bean: grpcHealthService, class: io.grpc.protobuf.services.HealthServiceImpl
2025-12-30 17:41:26.746 [main] INFO  n.d.b.g.s.serverfactory.AbstractGrpcServerFactory - Registered gRPC service: grpc.reflection.v1alpha.ServerReflection, bean: protoReflectionService, class: io.grpc.protobuf.services.ProtoReflectionService
2025-12-30 17:41:26.862 [main] INFO  n.d.b.g.server.serverfactory.GrpcServerLifecycle - gRPC Server started, listening on address: *, port: 9090
2025-12-30 17:41:26.868 [main] INFO  com.traffic.sim.TrafficSimApplication - Started TrafficSimApplication in 5.727 seconds (process running for 6.49)
2025-12-30 17:41:26.870 [main] INFO  com.traffic.sim.TrafficSimApplication - ========================================
2025-12-30 17:41:26.871 [main] INFO  com.traffic.sim.TrafficSimApplication - Traffic Simulation Server Started!
2025-12-30 17:41:26.871 [main] INFO  com.traffic.sim.TrafficSimApplication - ========================================
